tests with processor pinned:

32-bit DIGITs, AVX enabled.  Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz   3.41 GHz.  16 GB RAM
SpeedCheckBasicMultiply
Size (BYTEs): 140 Size (DIGITs): 35     Register block size: 1  Iterations: 10000000    Time: 14992572
Size (BYTEs): 140 Size (DIGITs): 35     Register block size: 2  Iterations: 10000000    Time: 9973441
Size (BYTEs): 140 Size (DIGITs): 35     Register block size: 3  Iterations: 10000000    Time: 9161092
Size (BYTEs): 140 Size (DIGITs): 35     Register block size: 4  Iterations: 10000000    Time: 8588045
Size (BYTEs): 140 Size (DIGITs): 35     Register block size: 5  Iterations: 10000000    Time: 9172113
Size (BYTEs): 140 Size (DIGITs): 35     Register block size: 6  Iterations: 10000000    Time: 10083292
Size (BYTEs): 144 Size (DIGITs): 36     Register block size: 1  Iterations: 10000000    Time: 15777391
Size (BYTEs): 144 Size (DIGITs): 36     Register block size: 2  Iterations: 10000000    Time: 10980015
Size (BYTEs): 144 Size (DIGITs): 36     Register block size: 3  Iterations: 10000000    Time: 9539395
Size (BYTEs): 144 Size (DIGITs): 36     Register block size: 4  Iterations: 10000000    Time: 9253846
Size (BYTEs): 144 Size (DIGITs): 36     Register block size: 5  Iterations: 10000000    Time: 8967769
Size (BYTEs): 144 Size (DIGITs): 36     Register block size: 6  Iterations: 10000000    Time: 9931171
Total microseconds for 1 registers: 182872613 20+ DIGITS only: 154381097
Total microseconds for 2 registers: 140353796 20+ DIGITS only: 115673012
Total microseconds for 3 registers: 127639406 20+ DIGITS only: 103698923
Total microseconds for 4 registers: 120561487 20+ DIGITS only: 97676075
Total microseconds for 5 registers: 126160600 20+ DIGITS only: 101726424
Total microseconds for 6 registers: 133852792 20+ DIGITS only: 109427015

If you're not doing this in retail, you're not getting good results
AVXMultTimes

If you're not doing this in retail, you're not getting good results
Compare basic to striped
Size: 13x16
        Basic:            136127
        Mult/add basic:   147546
        Striped:          102912
        Mult/add striped: 115860
Size: 14x16
        Basic:            150849
        Mult/add basic:   161471
        Striped:          105472
        Mult/add striped: 114357
Size: 15x16
        Basic:            153990
        Mult/add basic:   160314
        Striped:          106533
        Mult/add striped: 113019
Size: 16x16
        Basic:            161338
        Mult/add basic:   179626
        Striped:          95089
        Mult/add striped: 102083
Size: 13x32
        Basic:            141167
        Mult/add basic:   144607
        Striped:          92407
        Mult/add striped: 99747
Size: 14x32
        Basic:            149423
        Mult/add basic:   156398
        Striped:          90877
        Mult/add striped: 95008
Size: 15x32
        Basic:            163451
        Mult/add basic:   180746
        Striped:          89597
        Mult/add striped: 97812
Size: 16x32
        Basic:            161499
        Mult/add basic:   169911
        Striped:          83005
        Mult/add striped: 84728
Size: 17x32
        Basic:            136819
        Mult/add basic:   137725
        Striped:          88222
        Mult/add striped: 95570
Size: 18x32
        Basic:            142684
        Mult/add basic:   150569
        Striped:          91794
        Mult/add striped: 123354
Size: 19x32
        Basic:            173499
        Mult/add basic:   154174
        Striped:          99508
        Mult/add striped: 99142
Size: 20x32
        Basic:            158991
        Mult/add basic:   157689
        Striped:          79715
        Mult/add striped: 83313
Size: 21x32
        Basic:            129326
        Mult/add basic:   143033
        Striped:          98557
        Mult/add striped: 108533
Size: 22x32
        Basic:            140475
        Mult/add basic:   146834
        Striped:          98114
        Mult/add striped: 97726
Size: 23x32
        Basic:            144518
        Mult/add basic:   152822
        Striped:          96077
        Mult/add striped: 104622
